Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,year,month,week,Quarter,Trend,Rolling_mean_5,Rolling_mean_10,Lag_1,Lag_2
1,2010-02-05,1643690.9,0,42.31,2.572,211.0963582,8.106,2010,2,5,1,1,1450700.952,1090099.018,1643690.9,1643690.9
4,2010-02-05,2135143.87,0,43.76,2.598,126.4420645,8.623,2010,2,5,1,2,1450700.952,1090099.018,1643690.9,1643690.9
31,2010-02-05,1469252.05,0,39.05,2.572,210.7526053,8.324,2010,2,5,1,3,1450700.952,1090099.018,2135143.87,1643690.9
16,2010-02-05,477409.3,0,19.79,2.58,189.3816974,7.039,2010,2,5,1,4,1450700.952,1090099.018,1469252.05,2135143.87
11,2010-02-05,1528008.64,0,46.04,2.572,214.4248812,7.368,2010,2,5,1,5,1450700.952,1090099.018,477409.3,1469252.05
36,2010-02-05,467546.74,0,45.97,2.545,209.8529663,8.554,2010,2,5,1,6,1215472.1199999999,1090099.018,1528008.64,477409.3
42,2010-02-05,543384.01,0,54.34,2.962,126.4420645,9.765,2010,2,5,1,7,897120.148,1090099.018,467546.74,1528008.64
5,2010-02-05,317173.1,0,39.7,2.572,211.6539716,6.566,2010,2,5,1,8,666704.358,1090099.018,543384.01,467546.74
43,2010-02-05,647029.28,0,47.31,2.572,203.0642742,9.521,2010,2,5,1,9,700628.354,1090099.018,317173.1,543384.01
28,2010-02-05,1672352.29,0,49.47,2.962,126.4420645,13.975,2010,2,5,1,10,729497.084,1090099.018,647029.28,317173.1
6,2010-02-05,1652635.1,0,40.43,2.572,212.6223518,7.259,2010,2,5,1,11,966514.756,1090993.4379999998,1672352.29,647029.28
33,2010-02-05,274593.43,0,58.4,2.962,126.4420645,10.115,2010,2,5,1,12,912756.64,904938.3940000001,1652635.1,1672352.29
44,2010-02-05,281090.95,0,31.53,2.666,126.4420645,8.119,2010,2,5,1,13,905540.2100000002,786122.284,274593.43,1652635.1
18,2010-02-05,1205307.5,0,21.33,2.788,131.5279032,9.202,2010,2,5,1,14,1017195.854,858912.1039999999,281090.95,274593.43
3,2010-02-05,461622.22,0,45.71,2.572,214.4248812,7.368,2010,2,5,1,15,775049.8400000001,752273.462,1205307.5,281090.95
12,2010-02-05,1100046.37,0,49.47,2.962,126.4420645,13.975,2010,2,5,1,16,664532.0940000002,815523.425,461622.22,1205307.5
29,2010-02-05,538634.46,0,24.36,2.788,131.5279032,10.064,2010,2,5,1,17,717340.3,815048.47,1100046.37,461622.22
40,2010-02-05,1001943.8,0,14.48,2.788,131.5279032,5.892,2010,2,5,1,18,861510.8700000001,883525.54,538634.46,1100046.37
7,2010-02-05,496725.44,0,10.53,2.58,189.3816974,9.014,2010,2,5,1,19,719794.4580000001,868495.1560000001,1001943.8,538634.46
14,2010-02-05,2623469.95,0,27.31,2.784,181.8711898,8.992,2010,2,5,1,20,1152164.0040000002,963606.9219999999,496725.44,1001943.8
41,2010-02-05,1086533.18,0,30.27,2.58,189.3816974,7.541,2010,2,5,1,21,1149461.366,906996.7300000001,2623469.95,496725.44
27,2010-02-05,1874289.79,0,27.19,2.954,135.3524608,8.237,2010,2,5,1,22,1416592.432,1066966.366,1086533.18,2623469.95
35,2010-02-05,1230613.5,0,27.19,2.784,135.3524608,9.262,2010,2,5,1,23,1462326.372,1161918.6209999998,1874289.79,1086533.18
45,2010-02-05,890689.51,0,27.31,2.784,181.8711898,8.992,2010,2,5,1,24,1541119.186,1130456.8220000002,1230613.5,1874289.79
20,2010-02-05,2401395.47,0,25.92,2.784,204.2471935,8.187,2010,2,5,1,25,1496704.2900000003,1324434.147,890689.51,1230613.5
37,2010-02-05,536006.73,0,45.97,2.572,209.8529663,8.554,2010,2,5,1,26,1386599.0,1268030.183,2401395.47,890689.51
17,2010-02-05,789036.02,0,23.11,2.666,126.4420645,6.548,2010,2,5,1,27,1169548.246,1293070.3390000002,536006.73,2401395.47
30,2010-02-05,465108.52,0,39.05,2.572,210.7526053,8.324,2010,2,5,1,28,1016447.25,1239386.811,789036.02,536006.73
25,2010-02-05,677231.63,0,21.1,2.784,204.2471935,8.187,2010,2,5,1,29,973755.6740000002,1257437.4300000002,465108.52,789036.02
22,2010-02-05,1033017.37,0,24.36,2.788,135.3524608,8.283,2010,2,5,1,30,700080.0540000001,1098392.172,677231.63,465108.52
23,2010-02-05,1364721.58,0,15.25,2.788,131.5279032,5.892,2010,2,5,1,31,865823.0240000002,1126211.0119999999,1033017.37,677231.63
24,2010-02-05,1388725.63,0,22.43,2.954,131.5279032,8.326,2010,2,5,1,32,985760.9460000001,1077654.5960000001,1364721.58,1033017.37
19,2010-02-05,1507637.17,0,20.96,2.954,131.5279032,8.35,2010,2,5,1,33,1194266.6760000002,1105356.963,1388725.63,1364721.58
21,2010-02-05,798593.88,0,39.05,2.572,210.7526053,8.324,2010,2,5,1,34,1218539.126,1096147.4,1507637.17,1388725.63
10,2010-02-05,2193048.75,0,54.34,2.962,126.4420645,9.765,2010,2,5,1,35,1450545.402,1075312.728,798593.88,1507637.17
2,2010-02-05,2136989.46,0,40.19,2.572,210.7526053,8.324,2010,2,5,1,36,1604998.978,1235411.001,2193048.75,798593.88
39,2010-02-05,1230596.8,0,44.3,2.572,209.8529663,8.554,2010,2,5,1,37,1573373.2119999998,1279567.079,2136989.46,2193048.75
8,2010-02-05,1004137.09,0,34.14,2.572,214.4714512,6.299,2010,2,5,1,38,1472673.196,1333469.936,1230596.8,2136989.46
32,2010-02-05,1087616.19,0,34.43,2.58,189.3816974,9.014,2010,2,5,1,39,1530477.658,1374508.392,1004137.09,1230596.8
15,2010-02-05,652122.44,0,19.83,2.954,131.5279032,8.35,2010,2,5,1,40,1222292.3960000002,1336418.899,1087616.19,1004137.09
34,2010-02-05,956228.96,0,35.44,2.598,126.4420645,9.521,2010,2,5,1,41,986140.2960000001,1295569.637,652122.44,1087616.19
13,2010-02-05,1967220.53,0,31.53,2.666,126.4420645,8.316,2010,2,5,1,42,1133465.0420000001,1353419.1269999999,956228.96,652122.44
38,2010-02-05,358496.14,0,49.47,2.962,126.4420645,13.975,2010,2,5,1,43,1004336.8520000002,1238505.024,1967220.53,956228.96
9,2010-02-05,549505.55,0,38.01,2.572,214.6554591,6.415,2010,2,5,1,44,896714.724,1213596.191,358496.14,1967220.53
26,2010-02-05,1034119.21,0,9.55,2.788,131.5279032,8.488,2010,2,5,1,45,973114.0780000001,1097703.2370000002,549505.55,358496.14
37,2010-02-12,529852.7,1,46.11,2.548,209.9970208,8.554,2010,2,6,1,46,887838.8260000001,936989.561,1034119.21,549505.55
32,2010-02-12,1123566.12,1,28.09,2.572,189.4642725,9.014,2010,2,6,1,47,719107.944,926286.493,529852.7,1034119.21
21,2010-02-12,809321.44,1,37.77,2.548,210.8979935,8.324,2010,2,6,1,48,809273.0040000001,906804.928,1123566.12,529852.7
16,2010-02-12,472044.28,1,20.87,2.572,189.4642725,7.039,2010,2,6,1,49,793780.75,845247.7370000001,809321.44,1123566.12
42,2010-02-12,575709.96,1,49.96,2.828,126.4962581,9.765,2010,2,6,1,50,702098.9,837606.489,472044.28,809321.44
36,2010-02-12,469563.7,1,46.11,2.539,209.9970208,8.554,2010,2,6,1,51,690041.1000000001,788939.963,575709.96,472044.28
11,2010-02-12,1574684.08,1,48.01,2.548,214.5747916,7.368,2010,2,6,1,52,780264.692,749686.318,469563.7,575709.96
41,2010-02-12,1075656.34,1,23.04,2.572,189.4642725,7.541,2010,2,6,1,53,833531.672,821402.338,1574684.08,469563.7
14,2010-02-12,1704218.84,1,27.73,2.773,181.982317,8.992,2010,2,6,1,54,1079966.584,936873.667,1075656.34,1574684.08
25,2010-02-12,583364.02,1,19.64,2.773,204.3857472,8.187,2010,2,6,1,55,1081497.3960000002,891798.148,1704218.84,1075656.34
23,2010-02-12,1380892.08,1,18.75,2.771,131.5866129,5.892,2010,2,6,1,56,1263763.0720000002,976902.0859999999,583364.02,1704218.84
22,2010-02-12,1022571.25,1,28.14,2.771,135.4113076,8.283,2010,2,6,1,57,1153340.5060000003,966802.5989999998,1380892.08,583364.02
